"Language","original","english","german","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"pda_item_name","PDA","PDA","PDA","PDA","КПК","PDA","PDA","PDA","PDA","PDA","PDA","PDA","PDA","PDA",
"pda_item_desc","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","Ein kleines elektronisches Gerät im Militärstil für den sicheren Informationsaustausch über einen verschlüsselten Funkkanal über ein Mesh-Netzwerkprinzip.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","Небольшое электронное устройство военного образца для защищенного обмена информацией по зашифрованому радио каналу по принципу меш-сети.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.","A small military-style electronic device for the secure exchange of information over an encrypted radio channel through a mesh network principle.",
"pda_loading","Loading...","Loading...","Laden...","Loading...","Загрузка...","Loading...","Loading...","Loading...","Loading...","Loading...","Loading...","Loading...","Loading...","Loading...",
"pda_user_name","Name:","Name:","Name:","Name:","Имя:","Name:","Name:","Name:","Name:","Name:","Name:","Name:","Name:","Name:",
"pda_mute","Mute","Mute","Mute","Mute","Выкл. звук","Mute","Mute","Mute","Mute","Mute","Mute","Mute","Mute","Mute",
"pda_unmute","Unmute","Unmute","Entmuten","Unmute","Вкл. звук","Unmute","Unmute","Unmute","Unmute","Unmute","Unmute","Unmute","Unmute","Unmute",
"pda_anonymous","Anonymous","Anonymous","Anonym","Anonymous","Анонимный","Anonymous","Anonymous","Anonymous","Anonymous","Anonymous","Anonymous","Anonymous","Anonymous","Anonymous",
"pda_public","Public","Public","Public","Public","публика","Public","Public","Public","Public","Public","Public","Public","Public","Public",
"pda_contact_list","Contact list:","Contact list:","Kontaktliste:","Contact list:","Список контактов:","Contact list:","Contact list:","Contact list:","Contact list:","Contact list:","Contact list:","Contact list:","Contact list:","Contact list:",
"pda_hint1","Name","Name","Name","Name","Имя","Name","Name","Name","Name","Name","Name","Name","Name","Name",
"pda_add_contact","Add new contact","Add new contact","Neuen Kontakt hinzufügen","Add new contact","Добавить новый контакт","Add new contact","Add new contact","Add new contact","Add new contact","Add new contact","Add new contact","Add new contact","Add new contact","Add new contact",
"pda_remove_contact","Remove contact","Remove contact","Kontakt entfernen","Remove contact","Удалить контакт","Remove contact","Remove contact","Remove contact","Remove contact","Remove contact","Remove contact","Remove contact","Remove contact","Remove contact",
"pda_send","Send","Send","Senden","Send","Отправить","Send","Send","Send","Send","Send","Send","Send","Send","Send",
"pda_hint2","Write a message...","Write a message...","Schreibe eine Nachricht...","Write a message...","Напишите сообщение...","Write a message...","Write a message...","Write a message...","Write a message...","Write a message...","Write a message...","Write a message...","Write a message...","Write a message...",
"pda_sender","Sender","Sender","Absender","Sender","Отправитель","Sender","Sender","Sender","Sender","Sender","Sender","Sender","Sender","Sender",
"pda_message","Message","Message","Nachricht","Message","Сообщение","Message","Message","Message","Message","Message","Message","Message","Message","Message",
"pda_rename_contact","Rename contact","Rename contact","Kontakt umbenennen","Rename contact","Переименовать контакт","Rename contact","Rename contact","Rename contact","Rename contact","Rename contact","Rename contact","Rename contact","Rename contact","Rename contact",
"pda_ban_contact","Block contact","Block contact","Kontakt blockieren","Block contact","Блокируй контакт","Block contact","Block contact","Block contact","Block contact","Block contact","Block contact","Block contact","Block contact","Block contact",
"pda_messages_page","Messages","Messages","Nachrichten","Messages","Сообщения","Messages","Messages","Messages","Messages","Messages","Messages","Messages","Messages","Messages",
"pda_map_page","Map","Map","Karte","Map","Карта","Map","Map","Map","Map","Map","Map","Map","Map","Map",
