Language,original,english,german,czech,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_Wallet,Wallet,Wallet,Brieftasche,Peněženka,Кошелёк,Portfel,Pénztárca,Cartera,Billetera,Portefeuille,錢包,財布,Carteira,钱包,
STR_Wallet_DSC,Old wallet that can carry money,Old wallet that can carry money,Alte Brieftasche - die Geld tragen kann,Stará peněženka - která unese peníze,"Старый кошелёк, в котором можно носить деньги.",Stary portfel - który może przewozić pieniądze,Régi pénztárca - amely pénzt hordozhat,Vecchio portafoglio che può trasportare denaro,Billetera vieja que puede llevar dinero ,Vieux portefeuille qui peut transporter de l'argent,可以裝錢的舊錢包,古い財布。お金を持ち運べる。,Carteira velha que pode levar dinheiro,可以装钱的旧钱包,
"STR_DSC_Tag","They are usually worn as sleeve badges as a sign of group assignment and ranking information.","They are usually worn as sleeve badges as a sign of group assignment and ranking information.","Sie werden als Zeichen der Gruppenzuordnung und der Rangordnungsinformation meist als Ärmelabzeichen getragen.","Их обычно носят в виде нагрудных значков в знак группового задания и ранжирования.","They are usually worn as sleeve badges as a sign of group assignment and ranking information.","They are usually worn as sleeve badges as a sign of group assignment and ranking information.","They are usually worn as sleeve badges as a sign of group assignment and ranking information.","They are usually worn as sleeve badges as a sign of group assignment and ranking information.","They are usually worn as sleeve badges as a sign of group assignment and ranking information.","They are usually worn as sleeve badges as a sign of group assignment and ranking information.","They are usually worn as sleeve badges as a sign of group assignment and ranking information.","They are usually worn as sleeve badges as a sign of group assignment and ranking information.","They are usually worn as sleeve badges as a sign of group assignment and ranking information.","They are usually worn as sleeve badges as a sign of group assignment and ranking information.",
"STR_Tag_Loner","Loner Tag","Loner Tag","Loner Patch","Одиночки тег","Loner Tag","Loner Tag","Loner Tag","Loner Tag","Loner Tag","Loner Tag","Loner Tag","Loner Tag","Loner Tag","Loner Tag",
"STR_Tag_Military","Military Tag","Military Tag","Militär Patch","Военные тег","Military Tag","Military Tag","Military Tag","Military Tag","Military Tag","Military Tag","Military Tag","Military Tag","Military Tag","Military Tag",
"STR_Tag_Freedom","Freedom Tag","Freedom Tag","Freedom Patch","Свобода тег","Freedom Tag","Freedom Tag","Freedom Tag","Freedom Tag","Freedom Tag","Freedom Tag","Freedom Tag","Freedom Tag","Freedom Tag","Freedom Tag",
"STR_Tag_Duty","Duty Tag","Duty Tag","Duty Patch","Долг тег","Duty Tag","Duty Tag","Duty Tag","Duty Tag","Duty Tag","Duty Tag","Duty Tag","Duty Tag","Duty Tag","Duty Tag",
"STR_Tag_ClearSky","Clear Sky Tag","Clear Sky Tag","Clear Sky Patch","Чистое небо тег","Clear Sky Tag","Clear Sky Tag","Clear Sky Tag","Clear Sky Tag","Clear Sky Tag","Clear Sky Tag","Clear Sky Tag","Clear Sky Tag","Clear Sky Tag","Clear Sky Tag",
"STR_Tag_Bandits","Gruppa Krovi Tag","Gruppa Krovi Tag","Gruppa Krovi Patch","Группа Крови тег","Gruppa Krovi Tag","Gruppa Krovi Tag","Gruppa Krovi Tag","Gruppa Krovi Tag","Gruppa Krovi Tag","Gruppa Krovi Tag","Gruppa Krovi Tag","Gruppa Krovi Tag","Gruppa Krovi Tag","Gruppa Krovi Tag",
"STR_Tag_Monolith","Monolith Tag","Monolith Tag","Monolith Patch","монолит тег","Monolith Tag","Monolith Tag","Monolith Tag","Monolith Tag","Monolith Tag","Monolith Tag","Monolith Tag","Monolith Tag","Monolith Tag","Monolith Tag",
"STR_Tag_Mercenary","Mercenary Tag","Mercenary Tag","Mercenary Patch","Наемник тег","Mercenary Tag","Mercenary Tag","Mercenary Tag","Mercenary Tag","Mercenary Tag","Mercenary Tag","Mercenary Tag","Mercenary Tag","Mercenary Tag","Mercenary Tag",
"STR_Tag_Wolf","Wolf Tag","Wolf Tag","Wolf Patch","Наемник тег","Wolf Tag","Wolf Tag","Wolf Tag","Wolf Tag","Wolf Tag","Wolf Tag","Wolf Tag","Wolf Tag","Wolf Tag","Wolf Tag",
"STR_Tag_ISG","ISG Tag","ISG Tag","ISG Patch","Наемник тег","ISG Tag","ISG Tag","ISG Tag","ISG Tag","ISG Tag","ISG Tag","ISG Tag","ISG Tag","ISG Tag","ISG Tag",
