"Language","original","english","german","russian","czech","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_Artefact_Belt","Artefact Belt","Artefact Belt","Artefakt Gürtel","Artefact Belt","Artefact Belt","Artefact Belt","Artefact Belt","Artefact Belt","Artefact Belt","Artefact Belt","Artefact Belt","Artefact Belt","Artefact Belt","Artefact Belt"
"STR_DSC_Artefact_Belt","When equipped, some artifacts may offer beneficial side effects to the player's character. In order to achieve the best possible effect, the artifacts have to be carefully selected. The artifacts have to be placed on the belt; having them in the inventory is not enough.","When equipped, some artifacts may offer beneficial side effects to the player's character. In order to achieve the best possible effect, the artifacts have to be carefully selected. The artifacts have to be placed on the belt; having them in the inventory is not enough.","Einige Artefakte können, wenn sie ausgerüstet werden, nützliche Nebeneffekte für sie haben. Um die bestmögliche Wirkung zu erzielen, müssen die Artefakte sorgfältig ausgewählt werden. Die Artefakte müssen am Gürtel angebracht werden; es reicht nicht aus, sie im Inventar zu haben.","When equipped, some artifacts may offer beneficial side effects to the player's character. In order to achieve the best possible effect, the artifacts have to be carefully selected. The artifacts have to be placed on the belt; having them in the inventory is not enough.","When equipped, some artifacts may offer beneficial side effects to the player's character. In order to achieve the best possible effect, the artifacts have to be carefully selected. The artifacts have to be placed on the belt; having them in the inventory is not enough.","When equipped, some artifacts may offer beneficial side effects to the player's character. In order to achieve the best possible effect, the artifacts have to be carefully selected. The artifacts have to be placed on the belt; having them in the inventory is not enough.","When equipped, some artifacts may offer beneficial side effects to the player's character. In order to achieve the best possible effect, the artifacts have to be carefully selected. The artifacts have to be placed on the belt; having them in the inventory is not enough.","When equipped, some artifacts may offer beneficial side effects to the player's character. In order to achieve the best possible effect, the artifacts have to be carefully selected. The artifacts have to be placed on the belt; having them in the inventory is not enough.","When equipped, some artifacts may offer beneficial side effects to the player's character. In order to achieve the best possible effect, the artifacts have to be carefully selected. The artifacts have to be placed on the belt; having them in the inventory is not enough.","When equipped, some artifacts may offer beneficial side effects to the player's character. In order to achieve the best possible effect, the artifacts have to be carefully selected. The artifacts have to be placed on the belt; having them in the inventory is not enough.","When equipped, some artifacts may offer beneficial side effects to the player's character. In order to achieve the best possible effect, the artifacts have to be carefully selected. The artifacts have to be placed on the belt; having them in the inventory is not enough.","When equipped, some artifacts may offer beneficial side effects to the player's character. In order to achieve the best possible effect, the artifacts have to be carefully selected. The artifacts have to be placed on the belt; having them in the inventory is not enough.","When equipped, some artifacts may offer beneficial side effects to the player's character. In order to achieve the best possible effect, the artifacts have to be carefully selected. The artifacts have to be placed on the belt; having them in the inventory is not enough.","When equipped, some artifacts may offer beneficial side effects to the player's character. In order to achieve the best possible effect, the artifacts have to be carefully selected. The artifacts have to be placed on the belt; having them in the inventory is not enough."
"STR_Artefact_Container_1","Small artefact container","Small artefact container","Kleiner Artefakt Behaelter","Маленький контейнер для артефактов","Small artefact container","Small artefact container","Small artefact container","Small artefact container","Small artefact container","Small artefact container","Small artefact container","Small artefact container","Small artefact container","Small artefact container"
"STR_Artefact_Container_2","Medium artefact container","Medium artefact container","Mittlerer Artefakt Behaelter","Средний контейнер для артефактов","Medium artefact container","Medium artefact container","Medium artefact container","Medium artefact container","Medium artefact container","Medium artefact container","Medium artefact container","Medium artefact container","Medium artefact container","Medium artefact container"
"STR_Artefact_Container_3","Great artefact container","Great artefact container","Grosser Artefakt Behaelter","Отличный контейнер для артефакто","Great artefact container","Great artefact container","Great artefact container","Great artefact container","Great artefact container","Great artefact container","Great artefact container","Great artefact container","Great artefact container","Great artefact container"
"STR_DSC_Artefact_Container","This container is used to safely store artefacts.","This container is used to safely store artefacts.","Dieser Behälter dient zum sicheren verwahren von Artefakten.","Этот контейнер используется для безопасного хранения артефактов.","This container is used to safely store artefacts.","This container is used to safely store artefacts.","This container is used to safely store artefacts.","This container is used to safely store artefacts.","This container is used to safely store artefacts.","This container is used to safely store artefacts.","This container is used to safely store artefacts.","This container is used to safely store artefacts.","This container is used to safely store artefacts.","This container is used to safely store artefacts."
"STR_DSC_Artefact","An object of an incompletely understood physical nature, formed in anomalies. First of all, it is interesting in that it affects the carrier in different ways: the influence can be both beneficial and harmful.","An object of an incompletely understood physical nature, formed in anomalies. First of all, it is interesting in that it affects the carrier in different ways: the influence can be both beneficial and harmful.","Ein Objekt unvollständig verstandener physikalischer Natur, das in Anomalien gebildet wird. Erstens ist es insofern interessant, als das es den Träger auf unterschiedliche Weise beeinflusst: Der Einfluss kann sowohl nützlich als auch schädlich sein.","Иредмет не до конца понятной физической природы, образующийся в аномалиях. Интересен первым делом тем, что по-разному влияет на носителя: влияние может быть как благотворное, так и вредоносное.","An object of an incompletely understood physical nature, formed in anomalies. First of all, it is interesting in that it affects the carrier in different ways: the influence can be both beneficial and harmful.","An object of an incompletely understood physical nature, formed in anomalies. First of all, it is interesting in that it affects the carrier in different ways: the influence can be both beneficial and harmful.","An object of an incompletely understood physical nature, formed in anomalies. First of all, it is interesting in that it affects the carrier in different ways: the influence can be both beneficial and harmful.","An object of an incompletely understood physical nature, formed in anomalies. First of all, it is interesting in that it affects the carrier in different ways: the influence can be both beneficial and harmful.","An object of an incompletely understood physical nature, formed in anomalies. First of all, it is interesting in that it affects the carrier in different ways: the influence can be both beneficial and harmful.","An object of an incompletely understood physical nature, formed in anomalies. First of all, it is interesting in that it affects the carrier in different ways: the influence can be both beneficial and harmful.","An object of an incompletely understood physical nature, formed in anomalies. First of all, it is interesting in that it affects the carrier in different ways: the influence can be both beneficial and harmful.","An object of an incompletely understood physical nature, formed in anomalies. First of all, it is interesting in that it affects the carrier in different ways: the influence can be both beneficial and harmful.","An object of an incompletely understood physical nature, formed in anomalies. First of all, it is interesting in that it affects the carrier in different ways: the influence can be both beneficial and harmful.","An object of an incompletely understood physical nature, formed in anomalies. First of all, it is interesting in that it affects the carrier in different ways: the influence can be both beneficial and harmful."
"STR_Artefact_AlteredInsulator","Altered Insulator","Altered Insulator","Veraenderter Isolator","Измененный изолятор","Altered Insulator","Altered Insulator","Altered Insulator","Altered Insulator","Altered Insulator","Altered Insulator","Altered Insulator","Altered Insulator","Altered Insulator","Altered Insulator"
"STR_Artefact_AlteredWheel","Altered Wheel","Altered Wheel","Veraendertes Rad","Изменённый штурвал","Altered Wheel","Altered Wheel","Altered Wheel","Altered Wheel","Altered Wheel","Altered Wheel","Altered Wheel","Altered Wheel","Altered Wheel","Altered Wheel"
"STR_Artefact_BallOfTwine","Ball of Twine","Ball of Twine","Schnurball","Выверт","Ball of Twine","Ball of Twine","Ball of Twine","Ball of Twine","Ball of Twine","Ball of Twine","Ball of Twine","Ball of Twine","Ball of Twine","Ball of Twine"
