"Language","original","english","german","russian","czech","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"GasMask","Gas Mask","Gas Mask","Gasmaske","Gas Mask","Gas Mask","Gas Mask","Gas Mask","Gas Mask","Gas Mask","Gas Mask","Gas Mask","Gas Mask","Gas Mask","Gas Mask",
"GasMask_Container","Gas Mask Canister","Gas Mask Canister","Gasmaskenkanister","Gas Mask Canister","Gas Mask Canister","Gas Mask Canister","Gas Mask Canister","Gas Mask Canister","Gas Mask Canister","Gas Mask Canister","Gas Mask Canister","Gas Mask Canister","Gas Mask Canister","Gas Mask Canister",
"GasMask_Container_DSC","These gas mask tins are made from a tough metal, with a fine metal inside lining which allows the gas mask to be removed easily from the canister.","These gas mask tins are made from a tough metal, with a fine metal inside lining which allows the gas mask to be removed easily from the canister.","Diese Gasmaskenkanister sind aus einem robusten Metall gefertigt, mit einer feinen Metall-Innenauskleidung, die es ermöglicht, die Gasmaske leicht aus der Dose zu entfernen.","These gas mask tins are made from a tough metal, with a fine metal inside lining which allows the gas mask to be removed easily from the canister.","These gas mask tins are made from a tough metal, with a fine metal inside lining which allows the gas mask to be removed easily from the canister.","These gas mask tins are made from a tough metal, with a fine metal inside lining which allows the gas mask to be removed easily from the canister.","These gas mask tins are made from a tough metal, with a fine metal inside lining which allows the gas mask to be removed easily from the canister.","These gas mask tins are made from a tough metal, with a fine metal inside lining which allows the gas mask to be removed easily from the canister.","These gas mask tins are made from a tough metal, with a fine metal inside lining which allows the gas mask to be removed easily from the canister.","These gas mask tins are made from a tough metal, with a fine metal inside lining which allows the gas mask to be removed easily from the canister.","These gas mask tins are made from a tough metal, with a fine metal inside lining which allows the gas mask to be removed easily from the canister.","These gas mask tins are made from a tough metal, with a fine metal inside lining which allows the gas mask to be removed easily from the canister.","These gas mask tins are made from a tough metal, with a fine metal inside lining which allows the gas mask to be removed easily from the canister.","These gas mask tins are made from a tough metal, with a fine metal inside lining which allows the gas mask to be removed easily from the canister.",
"GasMask_AVC","Gas mask (AVC)","Gas mask (AVC)","Gasmaske (AVC)","Противогаз (AVC)","Gas mask (AVC)","Gas mask (AVC)","Gas mask (AVC)","Gas mask (AVC)","Gas mask (AVC)","Gas mask (AVC)","Gas mask (AVC)","Gas mask (AVC)","Gas mask (AVC)","Gas mask (AVC)",
"GasMask_AVC_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_AVC_Filter","Gas mask filter (AVC)","Gas mask filter (AVC)","Gasmaskenfilter (AVC)","Фильтр от противогаза (AVC)","Gas mask filter (AVC)","Gas mask filter (AVC)","Gas mask filter (AVC)","Gas mask filter (AVC)","Gas mask filter (AVC)","Gas mask filter (AVC)","Gas mask filter (AVC)","Gas mask filter (AVC)","Gas mask filter (AVC)","Gas mask filter (AVC)",
"GasMask_AVC_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 60 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 60 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 60 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 60 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 60 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 60 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 60 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 60 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 60 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 60 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 60 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 60 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 60 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 60 Min",
"GasMask_CM7","Gas mask (CM7)","Gas mask (CM7)","Gasmaske (CM7)","Противогаз (CM7)","Gas mask (CM7)","Gas mask (CM7)","Gas mask (CM7)","Gas mask (CM7)","Gas mask (CM7)","Gas mask (CM7)","Gas mask (CM7)","Gas mask (CM7)","Gas mask (CM7)","Gas mask (CM7)",
"GasMask_CM7_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_CM7_Filter","Gas mask filter (CM7)","Gas mask filter (CM7)","Gasmaskenfilter (CM7)","Фильтр от противогаза (CM7)","Gas mask filter (CM7)","Gas mask filter (CM7)","Gas mask filter (CM7)","Gas mask filter (CM7)","Gas mask filter (CM7)","Gas mask filter (CM7)","Gas mask filter (CM7)","Gas mask filter (CM7)","Gas mask filter (CM7)","Gas mask filter (CM7)",
